folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,disp_agua,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos_inca,focos_ahor,combustible,estufa_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,tipo_finan,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medidor_luz,bomba_agua,tanque_gas,aire_acond,calefacc,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor
2402880805,1,8,10,3, ,1,1,2,2,3,1,1,1,2,2,2,0,1,0,1,1,4,0,3, ,1,1,800, , ,1, , , , , , , , ,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,1,1,240350000,000-0,1,2,375,0060190,529
2402880806,1,8,10,2, ,1,1,1,2,3,1,1,1,2,1,2,0,1,0,2,1,1,3,3, ,1,2, ,1000, , , , , , , , , , ,1,2,2,2,2,2,2,2,1,2,2,2,2,7,3,4,1,240350000,000-0,1,2,375,0060190,529
2402883001,1,8,10,2, ,1,1,2,1,2,1,4,1,2,1,2,1,0,0,1,1,0,5,3, ,1,2, ,1000, , , , , , , , , , ,1,1,1,1,1,2,2,1,1,2,2,2,2,3,2,1,1,240350000,000-0,1,2,375,0060200,480
2402883002,1,8,10,3,11, ,1,2,2,4,1,3,1,2,1,2,1,0,0,1,1,1,7,3, ,1,3, ,1000,1400,1,1,2,2,01,1, , ,1,1,1,1,1,2,2,2,2,1,2,2,2,2,4,2,2,1,240350000,000-0,1,2,375,0060200,480
2402883003,1,8,10,2, ,1,1,2,1,2,1,2,1,2,1,2,1,0,0,1,1,3,0,3, ,1,2, ,1000, , , , , , , , , , ,1,1,1,1,2,2,2,2,1,2,2,2,2,3,2,1,1,240350000,000-0,1,2,375,0060200,480
2402883004,1,8,10,2,10, ,1,2,1,2,1,1,1,2,1,2,1,0,0,1,1,0,5,3, ,1,3, ,1000,1400,1,1,2,1,01,1, , ,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,240350000,000-0,1,2,375,0060200,480
2402883005,1,8,10,3, ,1,1,2,2,5,1,3,1,2,1,2,1,0,0,1,1,0,8,3, ,1,3, ,1200,1100,1,1,1,1,01,1, , ,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,240350000,000-0,1,2,375,0060200,480
2402883006,1,8,10,3,14, ,1,2,2,4,1,2,1,2,1,2,1,0,0,1,1,0,6,4, ,1,3, ,1500,1400,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,2,2,2,2,5,4,1,1,240350000,000-0,1,2,375,0060200,480
2402893501,1,8,10,2, ,1,1,2,2,4,1,3,1,2,2,2,1,0,0,1,1,0,8,3, ,1,1,1300, , ,1, , , , , , , , ,1,1,1,1,2,2,2,1,1,2,2,2,2,4,1,3,1,240350000,000-0,1,4,377,0060210,534
2402893502,1,8,10,2,30, ,1,2,2,4,1,2,1,2,2,2,1,0,0,1,1,6,0,3, ,1,1,1200, , ,1, , , , , , , , ,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,1,1,240350000,000-0,1,4,377,0060210,534
