folioviv,sexo_jefe,edad_jefe,educa_jefe,tot_integ,hombres,mujeres,p12_64,p65mas,ocupados,percep_ing,perc_ocupa,total_gasto,total_ingreso
2760440225,1,49,8,1,1,0,1,0,1,1,1,32699.49,36980.3
2760440306,1,50,4,3,2,1,3,0,1,3,1,7265.23,9460.33
2760440307,1,68,3,3,2,1,2,1,0,2,0,8464.3,8364.37
2760440308,1,65,4,2,1,1,0,2,0,2,0,5474.07,10211.4
2760440309,1,83,3,5,1,4,3,1,1,3,1,10030.37,12434.94
2760440310,1,40,6,6,2,4,3,0,1,6,1,15639.79,9722.35
2760440911,1,43,6,5,3,2,2,0,1,4,1,7622.45,11968.66
2760440912,2,32,6,3,0,3,1,0,0,1,0,9636.83,23594.510000000002
2760440913,1,32,8,6,3,3,4,0,2,2,2,6777.6,20574.910000000003
2760440914,1,26,8,3,3,0,3,0,2,2,2,12076.23,21407.53
2760440915,2,35,4,6,4,2,4,0,1,4,1,12216.67,5006.43
2760440916,1,77,3,2,1,1,0,2,0,2,0,11746.57,7651.389999999999
2760516411,1,49,3,2,1,1,2,0,2,2,2,9881.51,18550.46
2760516412,1,59,3,2,1,1,2,0,1,2,1,17045.5,35170.03
2760516413,1,87,3,1,1,0,0,1,0,1,0,5315.54,11476.6
2760516414,1,41,4,5,4,1,5,0,2,5,2,28698.81,29075.59
2760516415,1,25,6,5,4,1,2,0,1,4,1,11633.06,12657.57
2760516421,1,43,4,6,3,3,5,0,2,5,2,17718.1,27125.36
2760516422,1,37,4,6,2,4,5,0,2,5,2,17915.82,21334.620000000003
2760516423,1,31,6,4,2,2,2,0,1,3,1,6317.02,12998.14
2760516424,1,76,3,2,1,1,0,2,1,2,1,8103.19,14042.279999999999
2760516425,1,31,6,3,2,1,2,0,2,3,2,6645.82,19880.83
2760516516,2,24,6,2,1,1,1,0,0,2,0,10195.37,13185.9
2760516517,1,27,6,5,3,2,2,0,2,1,1,10889.230000000001,21478.65
2760516518,1,48,4,3,1,2,3,0,2,3,2,18691.29,16357.77
2760516519,1,50,7,3,2,1,3,0,2,3,2,17311.32,23052.52
2760516520,1,30,8,3,2,1,2,0,2,2,1,12774.66,13455.14
2760516601,1,42,1,6,3,3,5,0,1,6,1,24889.57,27800.42
2760516602,2,49,6,2,0,2,2,0,1,2,1,13997.6,23806.989999999998
2760516603,1,44,1,5,4,1,4,0,4,4,3,44081.47,61594.54
2760516605,2,75,1,2,1,1,1,1,1,2,1,7610.17,13719.59
2760516706,2,67,1,1,0,1,0,1,1,1,1,8720.54,24542.6
2760516707,1,63,3,2,1,1,2,0,1,1,1,19288.51,14296.12
2760516708,2,101,3,2,1,1,1,1,1,2,1,4840.52,36366.259999999995
2760516709,1,71,3,2,1,1,0,2,2,2,2,18306.56,28013.269999999997
2760516710,2,37,6,4,1,3,3,0,1,4,1,12347.67,31078.57
2760527017,1,37,6,3,1,2,3,0,1,3,1,12123.67,23798.53
2760527018,2,45,10,4,1,3,3,0,1,3,1,44363.1,68619.14
2760527019,1,33,10,3,2,1,2,0,2,2,2,21117.88,60538.71
2760527020,1,39,6,5,3,2,3,0,2,3,2,8923.97,20885.6
2760527207,1,38,3,5,3,2,3,1,3,4,3,6461.26,21630.420000000002
2760527208,1,25,10,4,3,1,2,0,2,2,2,20469.33,25708.79
2760527209,1,32,6,4,2,2,2,0,2,2,2,20185.93,36003.78999999999
2760527210,1,41,3,5,4,1,5,0,2,5,2,11552.14,21625.190000000002
2760527211,1,38,3,4,3,1,4,0,3,4,4,13273.44,17383.88
2760527212,1,40,8,5,3,2,3,0,1,2,1,21383.17,48410.350000000006
2760527213,1,24,6,4,3,1,2,0,1,1,1,13910.289999999999,20546.96
2760527214,1,57,4,4,1,3,3,0,2,1,1,34968.66,13720.64
2760527215,1,20,7,2,1,1,2,0,1,1,1,10134.6,23235.730000000003
2760527216,2,45,6,4,2,2,3,1,0,1,0,10127.37,16293.189999999999
2760527801,1,51,4,6,4,2,3,0,2,5,2,35410.93,45286.369999999995
2760527802,1,38,6,6,3,3,3,0,2,5,2,15676.11,13694.91
2760527803,1,38,6,4,2,2,3,0,2,3,2,21435.32,35007.38
2760527804,1,45,11,1,1,0,1,0,1,1,1,93112.84,136818.57
2760527806,2,61,1,6,2,4,5,0,2,5,1,22071.74,27995.940000000002
2760527923,1,53,1,1,1,0,1,0,1,1,1,25568.35,25353.85
2760527924,2,39,6,2,0,2,1,0,0,1,0,9689.849999999999,17724.23
2760527927,1,45,6,6,2,4,5,0,3,5,3,26930.85,43178.67
2760543301,1,79,1,5,2,3,2,2,2,3,2,13593.130000000001,45001.920000000006
2760543302,1,66,3,1,1,0,0,1,1,1,1,8417.59,35139.15
2760543303,1,75,3,5,4,1,3,2,4,5,4,14631.21,53418.82
2760543304,1,20,6,2,1,1,2,0,1,1,1,8076.56,18442.99
2760543305,1,36,3,5,3,2,3,0,1,4,1,18789.14,30226.300000000003
2760543306,1,37,8,3,2,1,2,0,1,2,1,13635.689999999999,17646.39
2760543407,1,30,8,3,1,2,2,0,1,1,1,7876.97,9773.13
2760543409,2,50,3,2,1,1,2,0,2,1,1,14563.920000000002,63189.96
2760543410,1,81,1,2,1,1,1,1,0,2,0,3315.95,18362.0
2760543513,1,53,3,7,5,2,5,0,4,6,4,25467.24,53297.83
2760543514,1,34,6,5,2,3,3,0,0,1,0,7376.57,14720.869999999999
2760543516,1,45,3,4,2,2,3,0,1,3,1,15381.06,18555.03
2760543517,1,35,6,3,2,1,2,0,1,1,1,11446.65,16235.630000000001
2760543518,1,26,6,3,1,2,2,0,1,1,1,8037.09,16030.25
2760543619,1,66,3,5,2,3,3,1,2,2,2,13989.63,22356.38
2760543620,2,43,6,5,2,3,4,0,2,4,2,15769.64,23146.33
