folioviv,foliohog,huespedes,huesp_come,num_trab_d,trab_come,acc_alim1,acc_alim2,acc_alim3,acc_alim4,acc_alim5,acc_alim6,acc_alim7,acc_alim8,acc_alim9,acc_alim10,acc_alim11,acc_alim12,acc_alim13,acc_alim14,acc_alim15,acc_alim16,alim17_1,alim17_2,alim17_3,alim17_4,alim17_5,alim17_6,alim17_7,alim17_8,alim17_9,alim17_10,alim17_11,alim17_12,acc_alim18,telefono,celular,tv_paga,conex_inte,num_auto,anio_auto,num_van,anio_van,num_pickup,anio_picku,num_moto,anio_moto,num_bici,anio_bici,num_trici,anio_trici,num_carret,anio_carre,num_canoa,anio_canoa,num_otro,anio_otro,num_ester,anio_ester,num_grab,anio_grab,num_radio,anio_radio,num_tva,anio_tva,num_tvd,anio_tvd,num_dvd,anio_dvd,num_video,anio_video,num_licua,anio_licua,num_tosta,anio_tosta,num_micro,anio_micro,num_refri,anio_refri,num_estuf,anio_estuf,num_lavad,anio_lavad,num_planc,anio_planc,num_maqui,anio_maqui,num_venti,anio_venti,num_aspir,anio_aspir,num_compu,anio_compu,num_impre,anio_impre,num_juego,anio_juego,esc_radio,er_aparato,er_celular,er_compu,er_aplicac,er_tv,er_otro,recib_tvd,tsalud1_h,tsalud1_m,habito_1,habito_2,habito_3,habito_4,habito_5,habito_6,consumo,nr_viv,tarjeta,pagotarjet,regalotar,regalodado,autocons,regalos,remunera,transferen,parto_g,embarazo_g,negcua,est_alim,est_trans,bene_licon,cond_licon,lts_licon,otros_lts,diconsa,frec_dicon,cond_dicon,pago_dicon,otro_pago
100159304,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,3,3,3,2,2,7,7,7,7,3,1,1,1,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,9,0,,0,,0,,1,16,0,,0,,1,15,0,,1,16,1,16,1,16,1,13,1,14,0,,1,13,0,,1,13,0,,0,,1,1,,,,,,1,0,20,,,3,,,,1,,2,2,2,1,2,1,1,1,2,2,2,4300,520,2,,,0,2,,,,0
100159305,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,0,4,4,7,2,2,2,7,7,7,7,1,1,1,1,1,0,,0,,0,,1,16,0,,0,,0,,0,,0,,0,,0,,0,,1,11,1,13,1,6,0,,1,11,1,14,1,14,1,11,1,96,1,1,1,13,0,,1,13,0,,1,12,0,,1,14,2,,,,,,,,0,20,,,3,,,,1,,1,1,1,2,2,1,2,1,2,2,2,3300,120,2,,,0,9,,,,0
100177801,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,3,3,7,2,3,1,7,7,7,7,7,1,1,1,2,1,1,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,6,1,13,3,5,2,16,1,15,0,,1,6,0,,1,1,1,8,1,8,1,11,1,14,1,1,1,80,0,,1,11,0,,0,,1,1,,,,,,2,0,20,,,3,,5,,1,,2,2,2,2,2,1,2,1,2,2,2,5200,480,2,,,0,2,,,,0
100177802,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,7,7,3,3,1,7,7,7,0,0,1,2,1,2,2,2,15,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,6,0,,1,10,0,,0,,0,,1,11,0,,0,,1,13,1,86,1,5,1,6,0,,2,14,0,,0,,0,,0,,2,,,,,,,,0,30,,,3,,,,1,,1,2,2,2,2,1,2,2,2,2,2,9000,0,2,,,0,9,,,,0
100177803,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,0,3,2,4,2,0,4,7,7,7,7,1,2,1,2,2,0,,0,,1,1,0,,0,,0,,0,,0,,0,,1,89,0,,0,,0,,2,15,1,15,0,,1,0,0,,0,,1,85,1,60,1,0,1,16,0,,2,6,0,,0,,0,,0,,2,,,,,,,2,0,45,,,3,,,,1,,2,2,2,2,1,2,2,2,2,2,2,2280,0,2,,,0,9,,,,0
100177804,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,0,3,3,2,1,0,3,7,7,7,0,1,2,1,2,2,0,,1,11,0,,0,,0,,0,,0,,0,,0,,1,13,0,,0,,0,,2,13,0,,0,,1,12,0,,0,,1,14,1,15,1,1,1,15,0,,0,,0,,0,,0,,0,,1,1,,,,,,,0,40,,2,,,,,2,,2,2,2,2,2,1,1,2,2,2,2,1400,360,2,,,0,9,,,,0
100177805,1,0,0,0,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,7,2,0,7,2,4,0,7,7,7,2,0,1,1,1,2,1,1,6,0,,0,,0,,1,13,0,,0,,0,,0,,0,,1,9,1,12,0,,1,15,0,,0,,1,6,0,,1,13,1,96,1,11,1,1,1,6,1,11,1,13,0,,0,,0,,0,,1,1,,,,,,1,0,20,,,3,,,,1,,2,2,2,2,2,1,2,1,2,2,2,1200,120,2,,,0,2,,,,0
100177806,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,7,7,2,7,0,7,7,7,0,7,1,1,1,2,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,16,1,96,0,,0,,0,,1,15,0,,0,,1,6,1,76,1,76,1,96,0,,1,94,0,,0,,0,,0,,1,1,,,,,,,0,15,1,,,,,,2,,2,2,2,2,2,1,2,1,2,2,2,700,100,2,,,0,2,,,,0
100179401,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,2,3,2,7,2,2,7,1,7,7,1,1,2,1,2,2,0,,0,,0,,0,,1,14,0,,0,,0,,0,,1,14,0,,0,,0,,1,15,0,,0,,0,,0,,0,,1,15,1,15,0,,0,,0,,1,99,0,,0,,0,,0,,1,1,,,,,,2,0,30,,,3,,,,1,,2,2,2,2,2,1,2,1,2,2,2,2100,0,2,,,0,2,,,,0
100179402,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,7,7,7,2,2,7,7,7,7,7,1,2,2,1,1,1,93,1,10,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,13,1,14,1,11,0,,1,16,1,13,1,5,1,5,1,5,1,5,1,5,0,,0,,2,13,1,16,1,15,2,,,,,,,,0,5,,2,,,,,2,,1,2,2,2,2,1,1,2,2,2,2,4700,300,2,,,0,9,,,,0
100179403,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,3,2,3,1,1,1,1,7,7,7,0,1,2,1,1,1,1,98,0,,0,,0,,0,,0,,0,,0,,0,,1,16,0,,0,,0,,2,16,1,12,0,,1,16,0,,1,16,1,16,1,16,0,,1,16,0,,1,14,0,,1,10,0,,0,,1,1,,,,,,2,0,30,1,,,,5,,2,,2,1,2,2,2,1,2,2,1,2,2,3960,0,2,,,0,9,,,,0
100179404,1,0,0,0,0,1,2,2,2,2,2,2,2,2,,,,,,,,7,2,1,7,2,7,1,7,7,7,7,7,1,2,1,2,2,0,,0,,1,95,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,99,0,,0,,0,,1,99,0,,1,99,1,99,1,99,0,,1,99,0,,0,,0,,0,,0,,0,,1,1,,,,,,,0,5,,,,,5,,,,2,2,2,2,2,1,2,1,2,2,2,2100,0,2,,,0,9,,,,0
100260803,1,0,0,0,0,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,7,0,0,3,7,4,2,3,7,7,7,2,1,1,1,1,1,0,,1,8,1,14,0,,0,,0,,0,,0,,0,,1,8,1,8,1,8,1,8,3,15,1,8,0,,1,11,0,,1,93,1,13,1,6,1,9,1,13,0,,1,13,0,,2,14,1,12,1,10,1,1,,,,,,2,0,15,,,,,5,,,,2,2,2,2,2,1,1,2,2,2,2,8400,0,2,,,0,2,,,,0
100260804,1,0,0,0,0,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,7,3,5,0,2,2,0,5,2,7,7,0,2,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,13,2,8,0,,0,,0,,1,13,0,,0,,1,3,1,96,1,6,1,13,0,,0,,0,,0,,0,,0,,1,1,,,,,,,0,20,,,,,5,,,,2,2,2,2,2,2,2,2,2,2,2,2000,200,2,,,0,9,,,,0
100260805,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,3,7,7,3,5,3,7,7,7,7,7,1,1,1,2,1,0,,0,,1,96,0,,1,93,0,,0,,0,,0,,1,95,0,,0,,1,6,1,13,0,,0,,1,95,0,,1,11,1,6,1,95,1,11,1,14,0,,1,6,0,,1,11,0,,0,,1,1,,,,,,,0,10,,,3,,,,2,,2,2,2,2,2,2,1,2,2,2,2,2500,0,2,,,0,9,,,,0
100260806,1,0,0,0,0,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,0,2,4,3,7,1,4,7,7,1,7,1,2,1,2,1,1,5,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,,0,,2,0,1,15,0,,0,,1,12,0,,0,,1,0,1,0,0,,1,12,0,,0,,0,,0,,0,,0,,1,1,,,,,,1,0,15,,,3,,,,2,,2,2,2,2,2,1,2,2,2,2,2,3000,200,2,,,0,2,,,,0
100277401,1,0,0,0,0,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7,3,4,6,5,7,1,7,7,7,7,5,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,86,0,,0,,3,1,0,,0,,0,,1,11,0,,0,,1,11,1,6,1,6,1,15,0,,0,,0,,0,,0,,0,,1,1,,,,,,,0,30,1,,,,5,,2,,1,2,1,1,2,1,2,2,2,2,2,8220,0,2,,,0,2,,,,0
100277402,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,3,7,7,2,7,2,7,7,7,7,7,1,1,1,1,2,1,15,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,96,1,11,1,1,0,,0,,0,,1,6,0,,0,,1,8,1,2,0,,1,0,0,,0,,0,,1,12,0,,0,,1,1,,,,,,,0,20,,,3,,5,,2,,1,2,2,2,2,2,1,2,2,2,2,3500,100,2,,,0,1,3,,,0
100277402,2,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,2,7,7,7,7,1,1,7,7,2,0,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,12,1,6,0,,2,16,0,,1,12,0,,1,13,1,14,1,11,1,11,3,14,0,,0,,1,15,1,13,1,13,0,,1,1,,,,5,,,0,10,,2,,,5,,2,,1,1,2,2,2,1,2,2,2,2,2,3300,930,2,,,0,9,,,,0
100277403,1,0,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7,0,7,7,3,1,0,7,7,7,7,0,1,1,1,1,1,1,6,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,2,13,3,13,0,,1,10,0,,1,10,1,10,1,10,1,10,1,10,0,,0,,0,,0,,0,,0,,2,,,,,,,,0,40,,,3,,5,,1,,1,2,2,2,1,1,2,2,2,2,1,1500,150,2,,,0,9,,,,0
100277404,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,7,7,7,2,0,7,7,7,7,7,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,1,6,4,11,0,,1,11,0,,1,14,0,,1,11,1,11,1,96,1,96,1,15,0,,3,1,0,,0,,0,,0,,1,1,,,,,,,0,5,,,3,,5,,1,,2,2,2,2,2,2,1,2,2,2,2,4500,72,2,,,0,1,3,,,0
100277405,1,0,0,0,0,1,2,2,2,2,2,1,2,2,,,,,,,,6,7,5,5,7,7,4,7,7,7,7,1,1,1,1,1,1,0,,0,,2,1,1,6,1,15,0,,0,,0,,0,,1,13,1,16,0,,0,,2,12,1,12,0,,1,11,1,15,1,14,1,14,1,8,1,6,1,13,0,,0,,0,,2,14,0,,0,,2,,,,,,,,0,5,,,,,,6,1,,1,2,2,2,2,1,2,2,2,2,2,3200,0,2,,,0,9,,,,0
100277406,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,4,4,3,7,2,6,2,5,7,7,4,2,1,1,1,2,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,6,0,,1,6,1,96,1,14,1,7,1,96,1,14,0,,0,,1,10,1,7,1,6,1,13,0,,1,6,0,,1,6,1,8,0,,1,1,,,,,,,0,10,,,,,,6,1,,2,2,2,2,2,2,2,2,2,2,2,1100,500,2,,,0,2,,,,0
100282701,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,2,3,4,2,3,0,7,4,7,4,4,1,1,1,2,1,1,14,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,11,0,,1,14,0,,0,,1,81,0,,0,,1,15,1,86,0,,1,9,0,,0,,0,,1,9,0,,0,,2,,,,,,,,0,30,,,3,,5,,1,,2,2,2,1,2,1,2,1,2,2,2,1000,500,2,,,0,9,,,,0
