folioviv,foliohog,huespedes,huesp_come,num_trab_d,trab_come,acc_alim1,acc_alim2,acc_alim3,acc_alim4,acc_alim5,acc_alim6,acc_alim7,acc_alim8,acc_alim9,acc_alim10,acc_alim11,acc_alim12,acc_alim13,acc_alim14,acc_alim15,acc_alim16,alim17_1,alim17_2,alim17_3,alim17_4,alim17_5,alim17_6,alim17_7,alim17_8,alim17_9,alim17_10,alim17_11,alim17_12,acc_alim18,telefono,celular,tv_paga,conex_inte,num_auto,anio_auto,num_van,anio_van,num_pickup,anio_picku,num_moto,anio_moto,num_bici,anio_bici,num_trici,anio_trici,num_carret,anio_carre,num_canoa,anio_canoa,num_otro,anio_otro,num_ester,anio_ester,num_grab,anio_grab,num_radio,anio_radio,num_tva,anio_tva,num_tvd,anio_tvd,num_dvd,anio_dvd,num_video,anio_video,num_licua,anio_licua,num_tosta,anio_tosta,num_micro,anio_micro,num_refri,anio_refri,num_estuf,anio_estuf,num_lavad,anio_lavad,num_planc,anio_planc,num_maqui,anio_maqui,num_venti,anio_venti,num_aspir,anio_aspir,num_compu,anio_compu,num_impre,anio_impre,num_juego,anio_juego,esc_radio,er_aparato,er_celular,er_compu,er_aplicac,er_tv,er_otro,recib_tvd,tsalud1_h,tsalud1_m,habito_1,habito_2,habito_3,habito_4,habito_5,habito_6,consumo,nr_viv,tarjeta,pagotarjet,regalotar,regalodado,autocons,regalos,remunera,transferen,parto_g,embarazo_g,negcua,est_alim,est_trans,bene_licon,cond_licon,lts_licon,otros_lts,diconsa,frec_dicon,cond_dicon,pago_dicon,otro_pago
100282702,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,1,1,7,1,1,7,7,7,7,7,1,1,1,1,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,91,1,96,1,96,0,,3,16,0,,1,96,1,96,1,96,0,,1,6,1,6,1,13,1,1,0,,3,96,0,,0,,0,,0,,1,1,,,,,,2,0,15,,,3,,5,,1,,1,2,2,2,2,1,2,1,2,2,2,800,200,2,,,0,9,,,,0
100282703,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,3,3,7,3,3,2,7,7,7,7,7,1,1,1,1,1,2,5,0,,0,,1,16,0,,0,,0,,0,,0,,1,11,1,6,0,,0,,3,15,1,5,1,6,1,14,1,75,1,8,1,10,1,68,1,96,2,15,1,68,1,8,1,8,1,11,0,,1,11,1,1,2,,,,,1,0,18,1,,,,5,,1,,1,2,2,2,2,1,1,1,2,2,2,3000,0,2,,,0,9,,,,0
100282704,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,0,7,7,2,2,2,7,7,5,7,7,1,1,2,1,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,6,0,,1,16,0,,1,11,0,,0,,1,1,0,,1,11,1,86,1,86,1,86,1,86,0,,3,96,0,,0,,0,,0,,1,1,,,,,,,0,25,,,3,,,,1,,2,2,2,2,2,2,2,1,2,2,2,2742,1680,2,,,0,2,,,,0
100282705,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,2,7,7,1,7,0,7,7,7,7,7,1,1,2,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,13,0,,1,15,0,,0,,1,10,0,,0,,1,13,1,66,1,13,0,,1,86,1,13,0,,0,,0,,0,,1,1,,,,,,1,0,10,,,,,,6,1,,2,2,2,2,2,1,2,1,2,2,2,2050,0,2,,,0,9,,,,0
100282706,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,0,4,4,7,3,3,2,7,7,7,7,1,1,1,1,1,0,,2,14,0,,0,,0,,0,,0,,0,,0,,4,14,0,,0,,0,,4,14,0,,2,11,1,14,1,14,1,14,1,14,1,11,1,11,1,12,1,6,3,15,1,6,3,13,1,12,0,,1,1,,,,,,,0,5,1,,,,5,,1,,1,2,2,1,2,2,2,2,2,2,2,8500,200,2,,,0,9,,,,0
100284902,1,0,0,0,0,1,2,2,2,2,2,2,2,2,,,,,,,,7,2,7,2,7,7,0,7,7,7,7,7,1,1,1,1,1,1,3,0,,0,,0,,0,,0,,0,,0,,0,,1,14,0,,1,0,1,6,0,,1,6,0,,1,0,0,,0,,1,0,1,0,1,0,1,0,0,,0,,0,,2,13,0,,0,,1,1,,,,,,,0,10,,2,,,,,2,,1,1,1,1,2,1,1,2,2,2,2,4000,400,2,,,0,9,,,,0
100284904,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,0,7,7,3,7,0,7,7,7,7,7,1,2,1,1,2,1,16,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,6,0,,1,8,0,,1,13,1,13,1,16,1,15,1,14,1,13,1,14,0,,0,,0,,0,,0,,0,,1,,2,,,,,,0,15,,2,,,,,2,,2,2,2,2,2,1,1,1,2,2,2,4600,120,2,,,0,2,,,,0
100284905,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,7,0,1,0,0,3,0,4,0,7,0,0,1,2,1,1,2,0,,0,,0,,0,,0,,1,14,0,,0,,0,,0,,0,,0,,1,16,0,,0,,0,,1,15,0,,0,,1,16,1,14,1,16,0,,0,,0,,0,,0,,0,,0,,2,,,,,,,,0,30,,,,,5,,,,2,2,2,2,2,1,2,2,2,2,2,2030,750,2,,,0,9,,,,0
100284906,1,0,0,0,0,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,7,2,7,7,2,1,0,0,7,7,7,7,1,2,1,1,1,1,8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,8,0,,0,,0,,1,15,0,,1,1,1,96,1,91,1,13,1,13,0,,0,,0,,1,12,0,,1,8,2,,,,,,,,0,20,,,3,,,,1,,2,2,2,2,2,1,2,2,2,2,2,11000,0,2,,,0,9,,,,0
100298502,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,3,3,4,2,1,2,1,7,7,7,1,2,1,1,1,2,11,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,11,0,,0,,2,12,0,,0,,1,6,0,,1,6,1,13,1,1,1,1,1,6,0,,0,,0,,1,6,1,6,0,,2,,,,,,,,0,15,,2,,,,,2,,1,2,2,2,2,1,2,2,2,2,2,9000,800,2,,,0,9,,,,0
100298504,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,2,2,7,7,5,1,2,7,7,7,7,7,1,2,1,1,1,1,13,1,16,0,,0,,0,,0,,0,,0,,0,,1,6,0,,0,,1,96,1,11,0,,0,,1,91,0,,1,91,1,13,1,7,1,7,1,7,0,,0,,0,,1,7,1,7,1,7,2,,,,,,,,0,15,,2,,,,,2,,2,2,2,1,2,1,2,1,2,2,2,3500,0,2,,,0,9,,,,0
100298506,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,7,7,7,3,4,1,7,7,7,7,7,1,1,1,1,1,2,14,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,13,0,,5,15,0,,1,6,1,6,0,,1,98,1,6,1,7,1,11,2,86,2,13,1,11,0,,1,8,1,8,0,,1,1,,,,,,2,0,15,,2,,,,,2,,2,2,2,2,2,1,2,2,2,2,2,1100,0,2,,,0,9,,,,0
