folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,procampo,mesproc,progan,mesprogan,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
401089306,1,1,1,9,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,10250,500,0,770,2506.79,122.28,0,188.31,2440.76,0
401089915,1,1,1,4,1,,2,,,,,,,,,6,2,2,0,2,2,0,0,0,0,0,0,0,0,120000,1,0,0,0,0,0,0,104960,0,0,,0,,2,4,246800,0,0,104960,60358.69,0,0,25669.56,34689.13,0
401089917,1,1,1,5,1,2,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,67000,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,183500,0,0,37000,44877.71,0,0,9048.91,35828.8,0
401097415,1,1,2,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,200,103,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,72,0,1240,0,17.6,0,303.26,0,285.65
401097502,1,1,1,9,1,,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,27300,3100,0,7000,6676.63,758.15,0,1711.95,5722.82,0
401097720,1,2,2,5,1,2,2,,,,,,,,,6,1,1,0,1,1,0,0,0,0,0,0,0,102000,0,2,0,0,0,0,0,0,0,0,0,,4000,4,2,4,12000,0,0,37160,2950.81,0,0,9137.7,0,6186.88
401097720,1,3,2,5,1,1,2,,,,,,,,,1,6,5,1,4,4,0,0,0,0,2,1,1,74000,4900,2,0,0,0,0,0,0,0,0,0,,3600,4,2,4,64972,11388,0,18500,15976.72,2800.32,0,4549.18,14227.86,0
401097724,1,1,1,9,1,,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,150115,4400,0,37000,36913.52,1081.96,0,9098.36,28897.13,0
401119213,1,1,1,6,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,36000,2250,0,280,8950.27,559.39,0,69.61,9440.05,0
401119213,1,2,1,5,1,1,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,440,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,4920,4119,0,5900,1223.2,1024.06,0,1466.85,780.41,0
401119214,1,2,1,5,1,1,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,1002,0,1000,0,249.11,0,248.61,0.49,0
401119215,1,1,2,4,1,,2,,,,,,,,,5,1,1,0,1,1,0,0,0,0,0,0,0,2500,0,2,0,0,0,0,0,0,0,0,0,,0,,2,3,0,16300,0,10500,0,4052.48,0,2610.49,1441.98,0
401119804,1,2,2,5,1,2,2,,,,,,,,,6,2,1,1,0,0,0,2,1,1,0,0,0,0,525,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,650,0,0,0,159.83,0,159.83
401119924,1,2,1,5,1,2,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,970,170,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,450,0,372,0,110.05,0,90.97,19.07,0
401126013,1,2,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,1740,40,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,3580,0,500,0,875.54,0,122.28,753.26,0
401126422,1,1,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,876,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,176,0,96,0,43.04,0,23.47,19.56,0
401126423,1,1,2,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,4440,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,430,0,0,0,105.16,0,105.16
