folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
501737303,1,TB04,10000,0,29032.25
501737303,1,TB06,70,0,203.22
501737303,1,TB07,8700,0,25258.06
501737303,1,TB10,1660,1660,1623.91
501737303,1,TB14,1200,1200,586.95
501737303,1,TB13,1200,0,586.95
501737303,1,TB02,132,0,383.22
501737306,1,TB01,3800,0,11032.25
501737306,1,TB12,4500,4500,2201.08
501863302,1,TB08,700,700,684.78
501863302,1,TB12,20000,8000,9782.6
501896204,1,TB11,3180,3180,1581.21
501923701,1,TB01,6000,0,18000
501923701,1,TB03,610,0,1830
501923701,1,TB08,3900,0,3815.21
501923701,1,TR01,1000,0,3000
501923701,1,TB09,6900,0,6749.99
501923705,1,TB11,20200,0,9934.42
501935603,1,TB13,5000,2500,2459.01
501939804,1,TB10,414,207,404.99
501997206,1,TB12,10697,0,5318.95
502001501,1,TB08,750,750,733.69
502001502,1,TB02,200,0,580.64
502001502,1,TB03,100,0,290.32
502001502,1,TB05,200,0,580.64
502039001,1,TB10,247,247,241.63
502091806,1,TB13,3000,0,1475.4
502091806,1,TB14,6000,1000,2950.81
502116205,1,TB01,3500,0,10161.29
502116205,1,TB02,1600,0,4645.16
502116205,1,TB11,8200,0,4077.34
502116205,1,TB03,1500,0,4354.83
502116205,1,TB04,300,0,870.96
502116205,1,TB05,2100,0,6096.77
502116205,1,TB08,4900,600,4793.47
502116205,1,TB09,3600,3600,3521.73
502116205,1,TB10,380,380,371.73
502116205,1,TB14,20000,0,9944.75
502196903,1,TB08,3000,1000,2934.78
502231406,1,TB04,1400,0,4064.51
502269502,1,TB13,2000,2000,978.26
502337305,1,TB05,800,0,2322.58
502337305,1,TB08,480,160,469.56
502392502,1,TB08,4100,4100,4010.86
502441005,1,TB08,1200,206,1173.91
502457806,1,TB05,500,0,1500
502457806,1,TB01,1200,0,3600
502457806,1,TB08,1380,1380,1349.99
502457806,1,TB10,570,190,557.6
502457806,1,TB13,1800,0,885.24
600982901,1,TB13,5200,0,2543.47
600982901,1,TB08,10910,4900,10672.82
600982901,1,TB11,11400,0,5576.08
600995303,2,TB13,5500,0,2690.21
600995304,1,TB04,550,0,1596.77
600995304,1,TB05,200,0,580.64
600995304,1,TB13,1240,0,606.52
