folioviv,foliohog,numren,id_trabajo,trapais,subor,indep,personal,pago,contrato,tipocontr,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,pres_11,pres_12,pres_13,pres_14,pres_15,pres_16,pres_17,pres_18,pres_19,pres_20,pres_21,pres_22,pres_23,pres_24,pres_25,pres_26,htrab,sinco,scian,clas_emp,tam_emp,no_ing,tiene_suel,tipoact,socios,soc_nr1,soc_nr2,soc_resp,otra_act,tipoact2,tipoact3,tipoact4,lugar,conf_pers
100829604,1,3,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,9521,7222,1,2,,,,,,,,,,,,,
100829605,1,1,1,1,1,,,1,2,,1,,,,,,7,8,9,,11,,,14,15,,17,,,,,,23,24,,,48,5312,9314,3,12,,,,,,,,,,,,,
100829605,1,3,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,38,2811,6222,3,12,,,,,,,,,,,,,
100829606,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4111,4671,,1,,2,2,2,,,,2,,,,,
100829606,1,3,1,1,1,,,1,1,2,1,,,,,6,7,8,9,,11,12,13,14,,,,18,,20,,,23,24,,,60,7134,2370,1,12,,,,,,,,,,,,,
100837001,1,3,1,1,1,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,82,8342,4850,1,2,,,,,,,,,,,,,
100837002,1,1,1,1,1,,,1,1,2,,,,4,,,,8,,,,,,,,,,,,,,,,,,,144,2622,9312,3,12,,,,,,,,,,,,,
100837003,1,2,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,,,,,16,17,18,,20,,,23,24,,,40,3212,5411,2,11,,,,,,,,,,,,,
100977305,1,2,1,1,1,,,1,1,2,,2,,,,,7,8,9,,11,12,13,14,15,16,17,18,,20,21,22,23,24,,,45,3115,6222,3,8,,,,,,,,,,,,,
100977306,1,2,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,,,14,15,16,,,,20,,,23,24,,,45,3115,9313,3,11,,,,,,,,,,,,,
100977306,1,3,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,,,14,,,,,,,,,23,24,,,35,5116,7221,2,3,,,,,,,,,,,,,
100977306,1,4,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,,,14,,,,,,,,,23,24,,,48,3211,7210,2,6,,,,,,,,,,,,,
100993801,1,1,1,1,1,,,1,1,2,1,,,,,,,8,9,,,,,,,,17,,,,,,,,,,72,8342,4850,2,7,,,,,,,,,,,,,
100993802,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2651,5611,,1,,2,3,,,,,,,,,,
100993803,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,5112,7221,,2,,2,3,2,,,,2,,,,,
100993803,1,2,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,15,,17,,,,,,23,24,,,48,1512,3360,2,4,,,,,,,,,,,,,
100993803,1,3,1,1,1,,,1,1,2,1,,,,,,,8,9,,,,,,,,,,,,,,,,,,24,3211,5414,1,2,,,,,,,,,,,,,
100993804,1,1,1,1,1,,,1,1,2,1,,,,,6,7,8,9,10,11,,,14,15,16,17,18,19,,,,23,24,,,48,2144,5412,2,8,,,,,,,,,,,,,
100993804,1,2,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,26,20,4231,6132,2,8,,,,,,,,,,,,,
100993805,1,1,1,1,1,,,1,1,2,1,,,,,6,7,8,9,10,11,12,,14,15,16,17,,19,20,21,22,,,,,40,4221,3340,2,11,,,,,,,,,,,,,
100993805,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1323,4840,,2,,2,3,,,,,,,,,,
100993806,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1721,7111,,3,,2,3,1,2,,1,2,,,,,
100995402,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,4111,4611,,2,,2,2,2,,,,2,,,,,
100995402,1,2,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,3121,4611,1,2,,,,,,,,,,,,,
100995402,1,3,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,,,14,,,,,,,,,,,,,48,1614,3360,2,10,,,,,,,,,,,,,
100995403,1,1,1,1,1,,,1,1,2,1,,,,,6,7,8,9,10,11,,,14,15,16,17,18,19,20,21,22,,,,,60,2111,3360,2,11,,,,,,,,,,,,,
